,content,lower_case,clean_1,clean_2,normalized,tokens,stopword,stemming,sentimen
3697,keren dan bagus game ini,keren dan bagus game ini,keren dan bagus game ini,keren dan bagus game ini,keren dan bagus game ini,"['keren', 'dan', 'bagus', 'game', 'ini']","['keren', 'bagus', 'game']","['keren', 'bagus', 'game']",1.0
3698,masih keren ml,masih keren ml,masih keren ml,masih keren ml,masih keren ml,"['masih', 'keren', 'ml']","['keren', 'ml']","['keren', 'ml']",2.0
3699,"game nya seru, aku sukaaaaaa bangettt","game nya seru, aku sukaaaaaa bangettt",game nya seru aku sukaaaaaa bangettt,game nya seru aku suka banget,game nya seru aku suka banget,"['game', 'nya', 'seru', 'aku', 'suka', 'banget']","['game', 'seru', 'suka', 'banget']","['game', 'seru', 'suka', 'banget']",1.0
3701,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3702,keren soalnya bahasa gaul,keren soalnya bahasa gaul,keren soalnya bahasa gaul,keren soalnya bahasa gaul,keren soalnya bahasa gaul,"['keren', 'soalnya', 'bahasa', 'gaul']","['keren', 'bahasa', 'gaul']","['keren', 'bahasa', 'gaul']",1.0
3703,"Kasih tim yang ngotak lah, kalah Mulu dari tadi, kalo kasih tim yang ngotak....... 😮‍💨","kasih tim yang ngotak lah, kalah mulu dari tadi, kalo kasih tim yang ngotak....... 😮‍💨",kasih tim yang ngotak lah kalah mulu dari tadi kalo kasih tim yang ngotak ,kasih tim yang ngotak lah kalah mulu dari tadi kalo kasih tim yang ngotak ,kasih tim yang ngotak lah kalah mulu dari tadi kalau kasih tim yang ngotak,"['kasih', 'tim', 'yang', 'ngotak', 'lah', 'kalah', 'mulu', 'dari', 'tadi', 'kalau', 'kasih', 'tim', 'yang', 'ngotak']","['kasih', 'tim', 'ngotak', 'kalah', 'mulu', 'kasih', 'tim', 'ngotak']","['kasih', 'tim', 'ngotak', 'kalah', 'mulu', 'kasih', 'tim', 'ngotak']",2.0
3704,Plagiat ml,plagiat ml,plagiat ml,plagiat ml,plagiat ml,"['plagiat', 'ml']","['plagiat', 'ml']","['plagiat', 'ml']",2.0
3706,mantap bagus bnget game nya,mantap bagus bnget game nya,mantap bagus bnget game nya,mantap bagus bnget game nya,mantap bagus banget game nya,"['mantap', 'bagus', 'banget', 'game', 'nya']","['mantap', 'bagus', 'banget', 'game']","['mantap', 'bagus', 'banget', 'game']",1.0
3709,Apaan ini game gabisa masukk malahan ngestuck di awal awal males aku:(,apaan ini game gabisa masukk malahan ngestuck di awal awal males aku:(,apaan ini game gabisa masukk malahan ngestuck di awal awal males aku,apan ini game gabisa masuk malahan ngestuck di awal awal males aku,apaan ini game gabisa masuk malahan ngestuck di awal awal males aku,"['apaan', 'ini', 'game', 'gabisa', 'masuk', 'malahan', 'ngestuck', 'di', 'awal', 'awal', 'males', 'aku']","['game', 'gabisa', 'masuk', 'ngestuck', 'males']","['game', 'gabisa', 'masuk', 'ngestuck', 'males']",2.0
3711,Nyindir ml lu,nyindir ml lu,nyindir ml lu,nyindir ml lu,nyindir ml lu,"['nyindir', 'ml', 'lu']","['nyindir', 'ml']","['nyindir', 'ml']",2.0
3712,Game Baik,game baik,game baik,game baik,game baik,"['game', 'baik']","['game', 'baik']","['game', 'baik']",1.0
3714,game ini sangat seru dimainkan dan heronya gampang untuk dikuasai,game ini sangat seru dimainkan dan heronya gampang untuk dikuasai,game ini sangat seru dimainkan dan heronya gampang untuk dikuasai,game ini sangat seru dimainkan dan heronya gampang untuk dikuasai,game ini sangat seru dimainkan dan heronya gampang untuk dikuasai,"['game', 'ini', 'sangat', 'seru', 'dimainkan', 'dan', 'heronya', 'gampang', 'untuk', 'dikuasai']","['game', 'sangat', 'seru', 'dimainkan', 'heronya', 'gampang', 'dikuasai']","['game', 'sangat', 'seru', 'main', 'hero', 'gampang', 'asai']",1.0
3720,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3721,kerenn,kerenn,kerenn,keren,keren,['keren'],['keren'],['keren'],1.0
3725,keren banget ketagihan gua main ini game,keren banget ketagihan gua main ini game,keren banget ketagihan gua main ini game,keren banget ketagihan gua main ini game,keren banget ketagihan gua main ini game,"['keren', 'banget', 'ketagihan', 'gua', 'main', 'ini', 'game']","['keren', 'banget', 'ketagihan', 'main', 'game']","['keren', 'banget', 'tagih', 'main', 'game']",1.0
3728,Amati tiru pek ketliplek,amati tiru pek ketliplek,amati tiru pek ketliplek,amati tiru pek ketliplek,amati tiru pek ketliplek,"['amati', 'tiru', 'pek', 'ketliplek']","['amati', 'tiru', 'pek', 'ketliplek']","['amat', 'tiru', 'pek', 'ketliplek']",2.0
3729,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
3732,Bagus game nya,bagus game nya,bagus game nya,bagus game nya,bagus game nya,"['bagus', 'game', 'nya']","['bagus', 'game']","['bagus', 'game']",1.0
3733,"Game nya bagus, grafik bagus","game nya bagus, grafik bagus",game nya bagus grafik bagus,game nya bagus grafik bagus,game nya bagus grafik bagus,"['game', 'nya', 'bagus', 'grafik', 'bagus']","['game', 'bagus', 'grafik', 'bagus']","['game', 'bagus', 'grafik', 'bagus']",1.0
3734,Namanya juga game pelagiat pasti banyak bug dan jaringan nya selalu merah,namanya juga game pelagiat pasti banyak bug dan jaringan nya selalu merah,namanya juga game pelagiat pasti banyak bug dan jaringan nya selalu merah,namanya juga game pelagiat pasti banyak bug dan jaringan nya selalu merah,namanya juga game plagiat pasti banyak bug dan jaringan nya selalu merah,"['namanya', 'juga', 'game', 'plagiat', 'pasti', 'banyak', 'bug', 'dan', 'jaringan', 'nya', 'selalu', 'merah']","['namanya', 'game', 'plagiat', 'banyak', 'bug', 'jaringan', 'merah']","['nama', 'game', 'plagiat', 'banyak', 'bug', 'jaring', 'merah']",2.0
3735,ketika masuk Lobby tiba tiba Lag,ketika masuk lobby tiba tiba lag,ketika masuk lobby tiba tiba lag,ketika masuk loby tiba tiba lag,ketika masuk beranda tiba tiba lag,"['ketika', 'masuk', 'beranda', 'tiba', 'tiba', 'lag']","['masuk', 'beranda', 'lag']","['masuk', 'beranda', 'lag']",2.0
3736,Game aneh banyak dark sistem,game aneh banyak dark sistem,game aneh banyak dark sistem,game aneh banyak dark sistem,game aneh banyak dark system,"['game', 'aneh', 'banyak', 'dark', 'system']","['game', 'aneh', 'banyak', 'dark', 'system']","['game', 'aneh', 'banyak', 'dark', 'system']",2.0
3739,keren banget,keren banget,keren banget,keren banget,keren banget,"['keren', 'banget']","['keren', 'banget']","['keren', 'banget']",1.0
3740,Keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
3741,Jgn mirip ml lah gj,jgn mirip ml lah gj,jgn mirip ml lah gj,jgn mirip ml lah gj,jangan mirip ml lah tidak jelas,"['jangan', 'mirip', 'ml', 'lah', 'tidak', 'jelas']","['jangan', 'mirip', 'ml', 'tidak', 'jelas']","['jangan', 'mirip', 'ml', 'tidak', 'jelas']",2.0
3745,Game jelek 🗿👍,game jelek 🗿👍,game jelek ,game jelek ,game jelek,"['game', 'jelek']","['game', 'jelek']","['game', 'jelek']",2.0
3746,mantap lah pokoknya,mantap lah pokoknya,mantap lah pokoknya,mantap lah pokoknya,mantap lah pokoknya,"['mantap', 'lah', 'pokoknya']","['mantap', 'pokoknya']","['mantap', 'pokok']",1.0
3748,Aku Suka,aku suka,aku suka,aku suka,aku suka,"['aku', 'suka']",['suka'],['suka'],1.0
3749,grafiknya bagus,grafiknya bagus,grafiknya bagus,grafiknya bagus,grafiknya bagus,"['grafiknya', 'bagus']","['grafiknya', 'bagus']","['grafik', 'bagus']",1.0
3753,game yg seru,game yg seru,game yg seru,game yg seru,game yang seru,"['game', 'yang', 'seru']","['game', 'seru']","['game', 'seru']",1.0
3755,Jelek,jelek,jelek,jelek,jelek,['jelek'],['jelek'],['jelek'],2.0
3756,Lebih banyak disini darksystemnya,lebih banyak disini darksystemnya,lebih banyak disini darksystemnya,lebih banyak disini darksystemnya,lebih banyak disini dark system nya,"['lebih', 'banyak', 'disini', 'dark', 'system', 'nya']","['lebih', 'banyak', 'dark', 'system']","['lebih', 'banyak', 'dark', 'system']",2.0
3758,"Game baik, tidak kikir seperti sebelah","game baik, tidak kikir seperti sebelah",game baik tidak kikir seperti sebelah,game baik tidak kikir seperti sebelah,game baik tidak pelit seperti sebelah,"['game', 'baik', 'tidak', 'pelit', 'seperti', 'sebelah']","['game', 'baik', 'tidak', 'pelit', 'sebelah']","['game', 'baik', 'tidak', 'pelit', 'belah']",1.0
3759,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3761,Ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
3766,okeeehh,okeeehh,okeeehh,okeh,oke,['oke'],['oke'],['oke'],1.0
3767,Terimakasih sudah menjadi game baik,terimakasih sudah menjadi game baik,terimakasih sudah menjadi game baik,terimakasih sudah menjadi game baik,terima kasih sudah menjadi game baik,"['terima', 'kasih', 'sudah', 'menjadi', 'game', 'baik']","['terima', 'kasih', 'game', 'baik']","['terima', 'kasih', 'game', 'baik']",1.0
3768,Bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3773,luar biasa bagus,luar biasa bagus,luar biasa bagus,luar biasa bagus,luar biasa bagus,"['luar', 'biasa', 'bagus']","['luar', 'bagus']","['luar', 'bagus']",1.0
3778,Game burik,game burik,game burik,game burik,game burik,"['game', 'burik']","['game', 'burik']","['game', 'burik']",2.0
3789,bagus gamenya,bagus gamenya,bagus gamenya,bagus gamenya,bagus gamenya,"['bagus', 'gamenya']","['bagus', 'gamenya']","['bagus', 'gamenya']",1.0
3790,Mantap lah ini game,mantap lah ini game,mantap lah ini game,mantap lah ini game,mantap lah ini game,"['mantap', 'lah', 'ini', 'game']","['mantap', 'game']","['mantap', 'game']",1.0
3793,game terbaik,game terbaik,game terbaik,game terbaik,game terbaik,"['game', 'terbaik']","['game', 'terbaik']","['game', 'baik']",1.0
3796,"Game ngeleg, padahal jaringan kenceng","game ngeleg, padahal jaringan kenceng",game ngeleg padahal jaringan kenceng,game ngeleg padahal jaringan kenceng,game ngelag padahal jaringan kencang,"['game', 'ngelag', 'padahal', 'jaringan', 'kencang']","['game', 'ngelag', 'jaringan', 'kencang']","['game', 'ngelag', 'jaring', 'kencang']",2.0
3800,lumayan lah,lumayan lah,lumayan lah,lumayan lah,lumayan lah,"['lumayan', 'lah']",['lumayan'],['lumayan'],1.0
3809,Game bagus,game bagus,game bagus,game bagus,game bagus,"['game', 'bagus']","['game', 'bagus']","['game', 'bagus']",1.0
3810,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
3811,bagus gamenya. Matcmaking jarang ada dark system. Jaringan stabil. Fps g gampang drop. Event skin banyak...,bagus gamenya. matcmaking jarang ada dark system. jaringan stabil. fps g gampang drop. event skin banyak...,bagus gamenya matcmaking jarang ada dark system jaringan stabil fps g gampang drop event skin banyak,bagus gamenya matcmaking jarang ada dark system jaringan stabil fps g gampang drop event skin banyak,bagus gamenya matchmaking jarang ada dark system jaringan stabil fps tidak gampang drop event skin banyak,"['bagus', 'gamenya', 'matchmaking', 'jarang', 'ada', 'dark', 'system', 'jaringan', 'stabil', 'fps', 'tidak', 'gampang', 'drop', 'event', 'skin', 'banyak']","['bagus', 'gamenya', 'matchmaking', 'jarang', 'dark', 'system', 'jaringan', 'stabil', 'fps', 'tidak', 'gampang', 'drop', 'event', 'skin', 'banyak']","['bagus', 'gamenya', 'matchmaking', 'jarang', 'dark', 'system', 'jaring', 'stabil', 'fps', 'tidak', 'gampang', 'drop', 'event', 'skin', 'banyak']",1.0
3812,Burik Sekali,burik sekali,burik sekali,burik sekali,burik sekali,"['burik', 'sekali']","['burik', 'sekali']","['burik', 'sekali']",2.0
3815,mantap bener game nya,mantap bener game nya,mantap bener game nya,mantap bener game nya,mantap bener game nya,"['mantap', 'bener', 'game', 'nya']","['mantap', 'bener', 'game']","['mantap', 'bener', 'game']",1.0
3816,Game yang sangat gampang banget,game yang sangat gampang banget,game yang sangat gampang banget,game yang sangat gampang banget,game yang sangat gampang banget,"['game', 'yang', 'sangat', 'gampang', 'banget']","['game', 'sangat', 'gampang', 'banget']","['game', 'sangat', 'gampang', 'banget']",1.0
3818,keren 🤣,keren 🤣,keren ,keren ,keren,['keren'],['keren'],['keren'],1.0
3820,bagus dan seru,bagus dan seru,bagus dan seru,bagus dan seru,bagus dan seru,"['bagus', 'dan', 'seru']","['bagus', 'seru']","['bagus', 'seru']",1.0
3822,MATCHMAKING GA SEIMBANG. TIN SENDIRI GA BISA MAIN MUSUHNYA JAGO MAINNYA. SORRY UNINSTAL.,matchmaking ga seimbang. tin sendiri ga bisa main musuhnya jago mainnya. sorry uninstal.,matchmaking ga seimbang tin sendiri ga bisa main musuhnya jago mainnya sorry uninstal,matchmaking ga seimbang tin sendiri ga bisa main musuhnya jago mainya sory uninstal,matchmaking tidak seimbang tim sendiri tidak bisa main musuhnya jago mainnya maaf uninstall,"['matchmaking', 'tidak', 'seimbang', 'tim', 'sendiri', 'tidak', 'bisa', 'main', 'musuhnya', 'jago', 'mainnya', 'maaf', 'uninstall']","['matchmaking', 'tidak', 'seimbang', 'tim', 'tidak', 'bisa', 'main', 'musuhnya', 'jago', 'mainnya', 'maaf', 'uninstall']","['matchmaking', 'tidak', 'imbang', 'tim', 'tidak', 'bisa', 'main', 'musuh', 'jago', 'main', 'maaf', 'uninstall']",2.0
3826,game yg sangat bagus,game yg sangat bagus,game yg sangat bagus,game yg sangat bagus,game yang sangat bagus,"['game', 'yang', 'sangat', 'bagus']","['game', 'sangat', 'bagus']","['game', 'sangat', 'bagus']",1.0
3828,game keren,game keren,game keren,game keren,game keren,"['game', 'keren']","['game', 'keren']","['game', 'keren']",1.0
3837,bagus 👍,bagus 👍,bagus ,bagus ,bagus,['bagus'],['bagus'],['bagus'],1.0
3841,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3843,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
3845,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3848,Iklan aja bagus game nya burik jauh banget gak kaya di iklan mending main ml aja,iklan aja bagus game nya burik jauh banget gak kaya di iklan mending main ml aja,iklan aja bagus game nya burik jauh banget gak kaya di iklan mending main ml aja,iklan aja bagus game nya burik jauh banget gak kaya di iklan mending main ml aja,iklan saja bagus game nya burik jauh banget tidak seperti di iklan mending main ml saja,"['iklan', 'saja', 'bagus', 'game', 'nya', 'burik', 'jauh', 'banget', 'tidak', 'seperti', 'di', 'iklan', 'mending', 'main', 'ml', 'saja']","['iklan', 'bagus', 'game', 'burik', 'jauh', 'banget', 'tidak', 'iklan', 'mending', 'main', 'ml']","['iklan', 'bagus', 'game', 'burik', 'jauh', 'banget', 'tidak', 'iklan', 'mending', 'main', 'ml']",2.0
3852,Keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
3854,Gamenya bagus,gamenya bagus,gamenya bagus,gamenya bagus,gamenya bagus,"['gamenya', 'bagus']","['gamenya', 'bagus']","['gamenya', 'bagus']",1.0
3855,Game kok niru ml,game kok niru ml,game kok niru ml,game kok niru ml,game malah plagiat ml,"['game', 'malah', 'plagiat', 'ml']","['game', 'plagiat', 'ml']","['game', 'plagiat', 'ml']",2.0
3856,gamenya seru banget aku suka,gamenya seru banget aku suka,gamenya seru banget aku suka,gamenya seru banget aku suka,gamenya seru banget aku suka,"['gamenya', 'seru', 'banget', 'aku', 'suka']","['gamenya', 'seru', 'banget', 'suka']","['gamenya', 'seru', 'banget', 'suka']",1.0
3857,Game sampah belum banyak update masih dalam keadaan buruk ini game,game sampah belum banyak update masih dalam keadaan buruk ini game,game sampah belum banyak update masih dalam keadaan buruk ini game,game sampah belum banyak update masih dalam keadan buruk ini game,game sampah belum banyak update masih dalam keadan buruk ini game,"['game', 'sampah', 'belum', 'banyak', 'update', 'masih', 'dalam', 'keadan', 'buruk', 'ini', 'game']","['game', 'sampah', 'banyak', 'update', 'keadan', 'buruk', 'game']","['game', 'sampah', 'banyak', 'update', 'adan', 'buruk', 'game']",2.0
3858,susah untuk dimainkan gampangan mobile legends,susah untuk dimainkan gampangan mobile legends,susah untuk dimainkan gampangan mobile legends,susah untuk dimainkan gampangan mobile legends,susah untuk dimainkan gampangan mobile legends,"['susah', 'untuk', 'dimainkan', 'gampangan', 'mobile', 'legends']","['susah', 'dimainkan', 'gampangan', 'mobile', 'legends']","['susah', 'main', 'gampang', 'mobile', 'legends']",2.0
3859,Game jelek mendingan ml,game jelek mendingan ml,game jelek mendingan ml,game jelek mendingan ml,game jelek mendingan ml,"['game', 'jelek', 'mendingan', 'ml']","['game', 'jelek', 'mendingan', 'ml']","['game', 'jelek', 'mending', 'ml']",2.0
3861,Musuh babi tim ga berguna Tim bodoh Tim ngebaf terus,musuh babi tim ga berguna tim bodoh tim ngebaf terus,musuh babi tim ga berguna tim bodoh tim ngebaf terus,musuh babi tim ga berguna tim bodoh tim ngebaf terus,musuh babi tim tidak berguna tim bodoh tim ngebaf terus,"['musuh', 'babi', 'tim', 'tidak', 'berguna', 'tim', 'bodoh', 'tim', 'ngebaf', 'terus']","['musuh', 'babi', 'tim', 'tidak', 'berguna', 'tim', 'bodoh', 'tim', 'ngebaf']","['musuh', 'babi', 'tim', 'tidak', 'guna', 'tim', 'bodoh', 'tim', 'ngebaf']",2.0
3865,"Ini masalah stuck di loading screen gimana coba, udah bolak balik intal dari web sama play store masih ga bisa","ini masalah stuck di loading screen gimana coba, udah bolak balik intal dari web sama play store masih ga bisa",ini masalah stuck di loading screen gimana coba udah bolak balik intal dari web sama play store masih ga bisa,ini masalah stuck di loading scren gimana coba udah bolak balik intal dari web sama play store masih ga bisa,ini masalah stuck di loading screen gimana coba udah bolak balik intal dari web sama play store masih tidak bisa,"['ini', 'masalah', 'stuck', 'di', 'loading', 'screen', 'gimana', 'coba', 'udah', 'bolak', 'balik', 'intal', 'dari', 'web', 'sama', 'play', 'store', 'masih', 'tidak', 'bisa']","['masalah', 'stuck', 'loading', 'screen', 'gimana', 'coba', 'udah', 'bolak', 'intal', 'web', 'play', 'store', 'tidak', 'bisa']","['masalah', 'stuck', 'loading', 'screen', 'gimana', 'coba', 'udah', 'bolak', 'intal', 'web', 'play', 'store', 'tidak', 'bisa']",2.0
3868,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3869,Game play nya sih bagus bangett tapi kekurangannya sih suara saat perang kurang keras buat player ngantuk 😘 itu aja sih mudah mudahan update suara saat war keras macam mlbb,game play nya sih bagus bangett tapi kekurangannya sih suara saat perang kurang keras buat player ngantuk 😘 itu aja sih mudah mudahan update suara saat war keras macam mlbb,game play nya sih bagus bangett tapi kekurangannya sih suara saat perang kurang keras buat player ngantuk  itu aja sih mudah mudahan update suara saat war keras macam mlbb,game play nya sih bagus banget tapi kekuranganya sih suara sat perang kurang keras buat player ngantuk itu aja sih mudah mudahan update suara sat war keras macam mlb,game play nya sih bagus banget tapi kekuranganya sih suara saat perang kurang keras buat player ngantuk itu saja sih mudah mudahan update suara saat war keras macam mlbb,"['game', 'play', 'nya', 'sih', 'bagus', 'banget', 'tapi', 'kekuranganya', 'sih', 'suara', 'saat', 'perang', 'kurang', 'keras', 'buat', 'player', 'ngantuk', 'itu', 'saja', 'sih', 'mudah', 'mudahan', 'update', 'suara', 'saat', 'war', 'keras', 'macam', 'mlbb']","['game', 'play', 'sih', 'bagus', 'banget', 'kekuranganya', 'sih', 'suara', 'perang', 'keras', 'buat', 'player', 'ngantuk', 'sih', 'mudah', 'mudahan', 'update', 'suara', 'war', 'keras', 'mlbb']","['game', 'play', 'sih', 'bagus', 'banget', 'kekuranganya', 'sih', 'suara', 'perang', 'keras', 'buat', 'player', 'ngantuk', 'sih', 'mudah', 'mudah', 'update', 'suara', 'war', 'keras', 'mlbb']",2.0
3873,Tolong jaringanya di stabilkan,tolong jaringanya di stabilkan,tolong jaringanya di stabilkan,tolong jaringanya di stabilkan,tolong jaringannya di stabilkan,"['tolong', 'jaringannya', 'di', 'stabilkan']","['tolong', 'jaringannya', 'stabilkan']","['tolong', 'jaring', 'stabil']",2.0
3879,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3880,sangat seruu,sangat seruu,sangat seruu,sangat seru,sangat seru,"['sangat', 'seru']","['sangat', 'seru']","['sangat', 'seru']",1.0
3881,seru banget,seru banget,seru banget,seru banget,seru banget,"['seru', 'banget']","['seru', 'banget']","['seru', 'banget']",1.0
3882,Paling malas main solo di kasih player yang cuma tes hero di rank,paling malas main solo di kasih player yang cuma tes hero di rank,paling malas main solo di kasih player yang cuma tes hero di rank,paling malas main solo di kasih player yang cuma tes hero di rank,paling malas main solo di kasih player yang cuma tes hero di rank,"['paling', 'malas', 'main', 'solo', 'di', 'kasih', 'player', 'yang', 'cuma', 'tes', 'hero', 'di', 'rank']","['malas', 'main', 'solo', 'kasih', 'player', 'tes', 'hero', 'rank']","['malas', 'main', 'solo', 'kasih', 'player', 'tes', 'hero', 'rank']",2.0
3896,aku ska,aku ska,aku ska,aku ska,aku suka,"['aku', 'suka']",['suka'],['suka'],1.0
3897,ini adalah gem yang seru,ini adalah gem yang seru,ini adalah gem yang seru,ini adalah gem yang seru,ini adalah game yang seru,"['ini', 'adalah', 'game', 'yang', 'seru']","['game', 'seru']","['game', 'seru']",1.0
3899,Bagus lebih bagus dari pada ml,bagus lebih bagus dari pada ml,bagus lebih bagus dari pada ml,bagus lebih bagus dari pada ml,bagus lebih bagus dari pada ml,"['bagus', 'lebih', 'bagus', 'dari', 'pada', 'ml']","['bagus', 'lebih', 'bagus', 'ml']","['bagus', 'lebih', 'bagus', 'ml']",1.0
3913,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3914,Kaga jelas banget dark sistem dari monton pindah ke HOK malah jadi ketemu tim dark sistem Mulu,kaga jelas banget dark sistem dari monton pindah ke hok malah jadi ketemu tim dark sistem mulu,kaga jelas banget dark sistem dari monton pindah ke hok malah jadi ketemu tim dark sistem mulu,kaga jelas banget dark sistem dari monton pindah ke hok malah jadi ketemu tim dark sistem mulu,tidak jelas banget dark system dari moonton pindah ke honor of kings malah jadi ketemu tim dark system mulu,"['tidak', 'jelas', 'banget', 'dark', 'system', 'dari', 'moonton', 'pindah', 'ke', 'honor', 'of', 'kings', 'malah', 'jadi', 'ketemu', 'tim', 'dark', 'system', 'mulu']","['tidak', 'jelas', 'banget', 'dark', 'system', 'moonton', 'pindah', 'honor', 'of', 'kings', 'ketemu', 'tim', 'dark', 'system', 'mulu']","['tidak', 'jelas', 'banget', 'dark', 'system', 'moonton', 'pindah', 'honor', 'of', 'kings', 'ketemu', 'tim', 'dark', 'system', 'mulu']",2.0
3915,game burq,game burq,game burq,game burq,game burq,"['game', 'burq']","['game', 'burq']","['game', 'burq']",2.0
3919,Game tai,game tai,game tai,game tai,game tai,"['game', 'tai']","['game', 'tai']","['game', 'tai']",2.0
3923,Kelamaan rilis nya lu min,kelamaan rilis nya lu min,kelamaan rilis nya lu min,kelaman rilis nya lu min,kelaman rilis nya lu developer,"['kelaman', 'rilis', 'nya', 'lu', 'developer']","['kelaman', 'rilis', 'developer']","['kelam', 'rilis', 'developer']",2.0
3924,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
3925,lebih ok dari ML,lebih ok dari ml,lebih ok dari ml,lebih ok dari ml,lebih oke dari ml,"['lebih', 'oke', 'dari', 'ml']","['lebih', 'oke', 'ml']","['lebih', 'oke', 'ml']",1.0
3926,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3928,Pelagiat,pelagiat,pelagiat,pelagiat,plagiat,['plagiat'],['plagiat'],['plagiat'],2.0
3932,Bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3933,keren😎,keren😎,keren,keren,keren,['keren'],['keren'],['keren'],1.0
3935,Matching team kurang adil team saya lebih goblog sedangkan musuh jago,matching team kurang adil team saya lebih goblog sedangkan musuh jago,matching team kurang adil team saya lebih goblog sedangkan musuh jago,matching team kurang adil team saya lebih goblog sedangkan musuh jago,matching team kurang adil team saya lebih goblok sedangkan musuh jago,"['matching', 'team', 'kurang', 'adil', 'team', 'saya', 'lebih', 'goblok', 'sedangkan', 'musuh', 'jago']","['matching', 'team', 'adil', 'team', 'lebih', 'goblok', 'musuh', 'jago']","['matching', 'team', 'adil', 'team', 'lebih', 'goblok', 'musuh', 'jago']",2.0
3938,Game burik bagusan juga game sebelah yaa mlbb lebih bagus,game burik bagusan juga game sebelah yaa mlbb lebih bagus,game burik bagusan juga game sebelah yaa mlbb lebih bagus,game burik bagusan juga game sebelah ya mlb lebih bagus,game burik bagusan juga game sebelah ya mlbb lebih bagus,"['game', 'burik', 'bagusan', 'juga', 'game', 'sebelah', 'ya', 'mlbb', 'lebih', 'bagus']","['game', 'burik', 'bagusan', 'game', 'sebelah', 'ya', 'mlbb', 'lebih', 'bagus']","['game', 'burik', 'bagus', 'game', 'belah', 'ya', 'mlbb', 'lebih', 'bagus']",2.0
3940,bagusss,bagusss,bagusss,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3941,bagus game nya,bagus game nya,bagus game nya,bagus game nya,bagus game nya,"['bagus', 'game', 'nya']","['bagus', 'game']","['bagus', 'game']",1.0
3942,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3945,mantap grafik hd,mantap grafik hd,mantap grafik hd,mantap grafik hd,mantap grafik hd,"['mantap', 'grafik', 'hd']","['mantap', 'grafik', 'hd']","['mantap', 'grafik', 'hd']",1.0
3948,baik,baik,baik,baik,baik,['baik'],['baik'],['baik'],1.0
3949,Mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3950,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
3951,game nya ringan.tingkatkan lagi,game nya ringan.tingkatkan lagi,game nya ringantingkatkan lagi,game nya ringantingkatkan lagi,game nya ringantingkatkan lagi,"['game', 'nya', 'ringantingkatkan', 'lagi']","['game', 'ringantingkatkan']","['game', 'ringantingkatkan']",1.0
3953,game nya bagusssssss banget,game nya bagusssssss banget,game nya bagusssssss banget,game nya bagus banget,game nya bagus banget,"['game', 'nya', 'bagus', 'banget']","['game', 'bagus', 'banget']","['game', 'bagus', 'banget']",1.0
3959,oke bngt,oke bngt,oke bngt,oke bngt,oke banget,"['oke', 'banget']","['oke', 'banget']","['oke', 'banget']",1.0
3960,oke mantap,oke mantap,oke mantap,oke mantap,oke mantap,"['oke', 'mantap']","['oke', 'mantap']","['oke', 'mantap']",1.0
3961,Gem yang bagus sekali,gem yang bagus sekali,gem yang bagus sekali,gem yang bagus sekali,game yang bagus sekali,"['game', 'yang', 'bagus', 'sekali']","['game', 'bagus', 'sekali']","['game', 'bagus', 'sekali']",1.0
3962,Bagus banget sihh wajib download,bagus banget sihh wajib download,bagus banget sihh wajib download,bagus banget sih wajib download,bagus banget sih wajib download,"['bagus', 'banget', 'sih', 'wajib', 'download']","['bagus', 'banget', 'sih', 'wajib', 'download']","['bagus', 'banget', 'sih', 'wajib', 'download']",1.0
3963,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
3964,Mantap dan bagus,mantap dan bagus,mantap dan bagus,mantap dan bagus,mantap dan bagus,"['mantap', 'dan', 'bagus']","['mantap', 'bagus']","['mantap', 'bagus']",1.0
3968,Game baik,game baik,game baik,game baik,game baik,"['game', 'baik']","['game', 'baik']","['game', 'baik']",1.0
